Index,Date-Time,Production,SSI,SSIRPrime,SWR,SWRRPrime,
217,28/03/2021 8:00,1192.889,524.266,531.299,563.400,602.715,
218,28/03/2021 9:00,1641.295,724.068,733.781,771.108,824.917,
219,28/03/2021 10:00,1910.097,949.669,962.409,924.910,989.452,
220,28/03/2021 11:00,1914.560,1026.363,1040.132,1015.058,1085.891,
221,28/03/2021 12:00,2126.479,1056.288,1070.459,1031.725,1103.720,
222,28/03/2021 13:00,1987.245,977.595,990.710,969.667,1037.331,
223,28/03/2021 14:00,1741.609,882.604,894.445,821.950,879.307,
224,28/03/2021 15:00,1338.553,722.027,731.713,620.275,663.559,
225,29/03/2021 8:00,1123.957,527.580,534.658,586.967,627.926,
226,29/03/2021 9:00,1541.561,727.189,736.944,782.467,837.068,
227,29/03/2021 10:00,1814.466,906.308,918.467,925.980,990.596,
228,29/03/2021 11:00,2024.236,1028.553,1042.352,1016.850,1087.807,
229,29/03/2021 12:00,2066.435,1058.054,1072.248,1023.092,1094.485,
230,29/03/2021 13:00,1922.696,978.965,992.098,954.333,1020.928,
231,29/03/2021 14:00,1650.135,883.801,895.657,816.383,873.352,
232,29/03/2021 15:00,1206.040,722.984,732.683,615.750,658.718,
233,30/03/2021 8:00,1132.217,530.862,537.983,592.592,633.944,
234,30/03/2021 9:00,1531.185,730.270,740.067,713.992,763.815,
235,30/03/2021 10:00,1846.503,954.743,967.552,877.230,938.444,
236,30/03/2021 11:00,1955.197,1030.660,1044.487,1009.058,1079.472,
237,30/03/2021 12:00,1974.048,1059.814,1074.032,1031.433,1103.408,
238,30/03/2021 13:00,1871.363,978.782,991.913,962.008,1029.139,
239,30/03/2021 14:00,1552.565,884.913,896.785,820.892,878.175,
240,30/03/2021 15:00,1138.914,723.902,733.613,614.517,657.399,
241,31/03/2021 8:00,1136.779,534.048,541.213,542.283,580.125,
242,31/03/2021 9:00,1585.406,733.311,743.148,690.708,738.907,
243,31/03/2021 10:00,1854.400,957.226,970.068,943.520,1009.360,
244,31/03/2021 11:00,1989.972,1032.745,1046.599,1030.950,1102.891,
245,31/03/2021 12:00,1973.603,1061.566,1075.808,1047.767,1120.881,
246,31/03/2021 13:00,1832.682,981.536,994.704,973.283,1041.200,
247,31/03/2021 14:00,1593.975,885.997,897.883,825.867,883.497,
248,31/03/2021 15:00,1189.053,724.781,734.504,545.208,583.254,
249,01/04/2021 8:00,1161.058,537.196,537.312,604.125,623.773,
250,01/04/2021 9:00,1572.834,736.308,736.467,807.825,834.097,
251,01/04/2021 10:00,1880.958,959.672,959.879,947.460,978.274,
252,01/04/2021 11:00,2037.488,1034.806,1035.030,1031.650,1065.202,
253,01/04/2021 12:00,2039.321,1063.309,1063.539,1035.292,1068.962,
254,01/04/2021 13:00,1897.714,982.537,982.749,966.117,997.537,
255,01/04/2021 14:00,1628.452,887.036,887.228,826.700,853.586,
256,01/04/2021 15:00,1203.905,725.621,725.778,625.183,645.516,
257,02/04/2021 8:00,1146.825,540.306,540.422,606.833,626.569,
258,02/04/2021 9:00,1573.912,739.259,739.419,809.992,836.334,
259,02/04/2021 10:00,1872.673,962.076,962.284,949.260,980.132,
260,02/04/2021 11:00,2015.412,1036.843,1037.067,1044.400,1078.366,
261,02/04/2021 12:00,1991.684,1065.044,1065.274,1050.517,1084.682,
262,02/04/2021 13:00,1819.741,983.778,983.991,969.300,1000.824,
263,02/04/2021 14:00,1571.720,888.029,888.221,819.408,846.057,
264,02/04/2021 15:00,1175.776,726.426,726.583,616.492,636.541,
265,03/04/2021 8:00,1173.676,543.374,543.491,603.750,623.385,
266,03/04/2021 9:00,1616.259,742.158,742.318,805.958,832.170,
267,03/04/2021 10:00,1896.775,964.439,964.648,945.390,976.136,
268,03/04/2021 11:00,2012.528,1038.853,1039.077,1040.758,1074.606,
269,03/04/2021 12:00,1993.457,1066.769,1066.999,1047.925,1082.006,
270,03/04/2021 13:00,1858.479,984.836,985.049,976.008,1007.750,
271,03/04/2021 14:00,1615.776,888.978,889.170,830.492,857.501,
272,03/04/2021 15:00,1184.098,727.197,727.354,625.592,645.937,
273,04/04/2021 8:00,1114.772,546.400,546.518,609.067,628.875,
274,04/04/2021 9:00,1541.765,744.796,744.957,812.858,839.294,
275,04/04/2021 10:00,1822.400,966.758,966.967,952.060,983.023,
276,04/04/2021 11:00,1939.616,1040.835,1041.059,1034.692,1068.342,
277,04/04/2021 12:00,1929.282,1068.485,1068.716,1037.250,1070.984,
278,04/04/2021 13:00,1825.523,985.854,986.067,965.442,996.840,
279,04/04/2021 14:00,1539.139,889.884,890.076,822.358,849.103,
280,04/04/2021 15:00,1098.029,727.933,728.090,614.292,634.270,
281,05/04/2021 8:00,982.483,549.381,549.499,599.083,618.567,
282,05/04/2021 9:00,1112.961,747.380,747.541,773.492,798.647,
283,05/04/2021 10:00,1411.256,961.931,962.138,887.370,916.229,
284,05/04/2021 11:00,1870.837,967.870,968.079,941.050,971.655,
285,05/04/2021 12:00,1587.133,667.658,667.803,838.242,865.503,
286,05/04/2021 13:00,1346.657,857.645,857.830,573.058,591.695,
287,05/04/2021 14:00,443.392,869.556,869.744,625.058,645.387,
288,05/04/2021 15:00,804.110,728.635,728.793,540.608,558.190,
289,06/04/2021 8:00,1025.555,552.316,552.435,602.108,621.690,
290,06/04/2021 9:00,1463.933,749.915,750.077,803.392,829.520,
291,06/04/2021 10:00,1738.925,971.257,971.467,940.890,971.490,
292,06/04/2021 11:00,1872.875,1044.280,1044.506,1024.558,1057.879,
293,06/04/2021 12:00,1942.136,1068.854,1069.085,1027.833,1061.261,
294,06/04/2021 13:00,1816.096,987.319,987.533,955.208,986.274,
295,06/04/2021 14:00,1521.744,891.568,891.761,803.325,829.451,
296,06/04/2021 15:00,985.598,729.307,729.465,518.333,535.191,
297,07/04/2021 8:00,1051.296,555.198,555.318,600.367,619.892,
298,07/04/2021 9:00,1481.529,752.402,752.564,800.683,826.723,
299,07/04/2021 10:00,1760.332,973.434,973.645,938.480,969.001,
300,07/04/2021 11:00,1894.742,1045.890,1046.116,1020.792,1053.990,
301,07/04/2021 12:00,1948.101,1069.311,1069.542,1024.875,1058.206,
302,07/04/2021 13:00,1828.790,985.401,985.614,952.775,983.761,
303,07/04/2021 14:00,1552.168,892.349,892.541,806.267,832.488,
304,07/04/2021 15:00,1129.126,729.948,730.106,560.483,578.712,
305,08/04/2021 8:00,1077.690,557.966,558.087,604.875,624.547,
306,08/04/2021 9:00,1549.754,754.837,755.000,797.017,822.937,
307,08/04/2021 10:00,1849.155,975.429,975.640,944.740,975.465,
308,08/04/2021 11:00,1974.104,1047.470,1047.696,1028.075,1061.510,
309,08/04/2021 12:00,1952.127,1073.781,1074.013,1030.217,1063.722,
310,08/04/2021 13:00,1837.908,988.767,988.981,958.025,989.182,
311,08/04/2021 14:00,1590.140,893.089,893.282,815.800,842.332,
312,08/04/2021 15:00,1116.184,730.561,730.719,544.242,561.942,
313,09/04/2021 8:00,1182.217,560.682,560.803,612.308,632.222,
314,09/04/2021 9:00,1591.765,757.220,757.384,791.050,816.777,
315,09/04/2021 10:00,1856.420,977.143,977.354,945.850,976.611,
316,09/04/2021 11:00,1972.369,1049.018,1049.245,1027.558,1060.977,
317,09/04/2021 12:00,1968.490,1075.154,1075.386,1011.592,1044.491,
318,09/04/2021 13:00,1745.290,989.104,989.318,955.375,986.446,
319,09/04/2021 14:00,1631.334,893.789,893.982,745.967,770.227,
320,09/04/2021 15:00,1091.583,731.144,731.302,458.990,473.917,
321,10/04/2021 8:00,1174.214,563.347,563.468,619.000,639.131,
322,10/04/2021 9:00,1614.305,759.549,759.713,804.792,830.965,
323,10/04/2021 10:00,1922.055,978.811,979.023,954.170,985.202,
324,10/04/2021 11:00,2069.774,1050.532,1050.758,1036.350,1070.054,
325,10/04/2021 12:00,2082.693,1076.377,1076.610,1038.192,1071.956,
326,10/04/2021 13:00,1940.021,991.083,991.297,967.050,998.501,
327,10/04/2021 14:00,1690.663,894.451,894.644,823.983,850.781,
328,10/04/2021 15:00,1146.202,731.700,731.858,613.067,633.005,
329,11/04/2021 8:00,1187.478,565.959,566.081,628.233,648.665,
330,11/04/2021 9:00,1650.386,761.826,761.990,828.417,855.359,
331,11/04/2021 10:00,1958.797,980.434,980.646,963.830,995.176,
332,11/04/2021 11:00,2111.900,1052.010,1052.237,1051.142,1085.327,
333,11/04/2021 12:00,2098.904,1077.358,1077.591,1059.058,1093.501,
334,11/04/2021 13:00,1934.289,991.811,992.025,983.667,1015.658,
335,11/04/2021 14:00,1680.223,895.053,895.246,793.942,819.762,
336,11/04/2021 15:00,1219.294,732.230,732.388,585.367,604.404,
337,12/04/2021 8:00,1243.394,568.519,568.641,629.450,649.921,
338,12/04/2021 9:00,1681.530,764.046,764.211,829.075,856.038,
339,12/04/2021 10:00,1986.515,982.010,982.223,964.100,995.455,
340,12/04/2021 11:00,2118.944,1053.452,1053.680,1052.492,1086.721,
341,12/04/2021 12:00,2138.779,1078.329,1078.562,1058.367,1092.787,
342,12/04/2021 13:00,1988.826,992.499,992.713,982.642,1014.599,
343,12/04/2021 14:00,1670.382,895.608,895.802,835.342,862.509,
344,12/04/2021 15:00,1218.299,732.734,732.892,627.825,648.243,
345,13/04/2021 8:00,1223.653,571.023,571.147,628.050,648.476,
346,13/04/2021 9:00,1621.468,766.208,766.374,813.692,840.155,
347,13/04/2021 10:00,1878.208,982.816,983.029,931.070,961.350,
348,13/04/2021 11:00,2032.083,1054.629,1054.857,1034.375,1068.015,
349,13/04/2021 12:00,2071.948,1079.290,1079.523,1033.558,1067.172,
350,13/04/2021 13:00,2021.146,952.532,952.738,771.492,796.582,
351,13/04/2021 14:00,817.772,623.845,623.980,118.425,122.276,
352,13/04/2021 15:00,382.597,548.237,548.356,203.392,210.006,
353,14/04/2021 8:00,1195.401,573.473,573.597,493.842,509.903,
354,14/04/2021 9:00,1617.533,768.316,768.482,691.375,713.860,
355,14/04/2021 10:00,1875.609,985.021,985.234,949.600,980.483,
356,14/04/2021 11:00,2057.251,1056.219,1056.447,1029.725,1063.214,
357,14/04/2021 12:00,2061.057,1080.240,1080.473,1030.625,1064.143,
358,14/04/2021 13:00,1943.558,993.756,993.971,961.433,992.701,
359,14/04/2021 14:00,1648.870,896.619,896.813,819.150,845.791,
360,14/04/2021 15:00,1096.219,733.672,733.830,608.892,628.694,
361,15/04/2021 8:00,1220.777,575.866,575.991,584.325,603.329,
362,15/04/2021 9:00,1612.628,770.363,770.529,806.333,832.557,
363,15/04/2021 10:00,1867.999,986.453,986.666,945.420,976.167,
364,15/04/2021 11:00,2040.834,1057.525,1057.753,1023.100,1056.374,
365,15/04/2021 12:00,2061.354,1081.179,1081.413,1027.792,1061.218,
366,15/04/2021 13:00,1928.282,994.258,994.473,962.442,993.742,
367,15/04/2021 14:00,1645.456,897.076,897.270,818.317,844.930,
368,15/04/2021 15:00,1219.944,734.107,734.266,612.850,632.781,
369,16/04/2021 8:00,723.998,578.201,578.326,290.617,300.068,
370,16/04/2021 9:00,1243.532,772.353,772.520,796.658,822.567,
371,16/04/2021 10:00,1761.982,987.835,988.048,952.830,983.818,
372,16/04/2021 11:00,1678.086,1058.615,1058.843,1028.083,1061.519,
373,16/04/2021 12:00,1981.750,1082.105,1082.339,1026.108,1059.480,
374,16/04/2021 13:00,1873.715,994.860,995.075,951.308,982.247,
375,16/04/2021 14:00,1611.515,897.504,897.698,789.342,815.013,
376,16/04/2021 15:00,1218.003,734.522,734.681,524.767,541.833,
377,17/04/2021 8:00,,580.478,580.604,596.483,615.882,
378,17/04/2021 9:00,,774.283,774.450,825.642,852.493,
379,17/04/2021 10:00,,989.166,989.380,963.490,994.825,
380,17/04/2021 11:00,1960.611,1059.664,1059.893,1040.817,1074.666,
381,17/04/2021 12:00,2100.420,1083.017,1083.251,1049.008,1083.124,
382,17/04/2021 13:00,1965.012,995.355,995.570,971.775,1003.379,
383,17/04/2021 14:00,1628.944,897.902,898.096,825.550,852.399,
384,17/04/2021 15:00,1193.981,734.917,735.076,622.208,642.444,
385,18/04/2021 8:00,1059.090,582.696,582.822,621.142,641.343,
386,18/04/2021 9:00,1658.764,776.152,776.320,807.800,834.071,
387,18/04/2021 10:00,2024.244,990.446,990.660,957.310,988.444,
388,18/04/2021 11:00,2111.954,1060.673,1060.902,1040.750,1074.598,
